date,time,brand,watch,strap,context,reason,outfit,weather_location,weather
2026-09-18,17:57,Tudor,Black Bay 58 GMT,,,,"blue Hokas; black linen pants; black faded Star Wars vintage T-shirt",78023,"Cloudy, ~90°F"
2026-09-19,13:50,Formex,Field Ice Blue,"grey Archer canvas",,,"blue Hokas; black linen pants; Toshiro BLEACH shirt",78023,"Mostly cloudy, 86°F"
2026-09-19,22:36,Tudor,Black Bay Ceramic,,,,"pajamas",78023,"Partly cloudy, 78°F"
2026-09-20,17:01,Formex,Field Ice Blue,"grey Archer canvas","lightweight gym watch","headed to the gym","T-shirt; sweats; white Nikes",78023,"Mostly sunny, 90°F"
2026-09-20,21:19,Tudor,Black Bay Ceramic,"Artem loopless HydroFlex","requested by Mitch","settling down for the night","jamjams",78023,"Cloudy, 85°F"
2026-09-21,10:37,Tudor,Black Bay 58 GMT,"Uncle bracelet","workday","I wear my GMT during work","pajamas",78023,"Partly sunny, 82°F"
