watch_id,brand,model,variant,movement,certification,power_reserve_hours,status,notes
formex-essence-ceramica-skeleton-viola,Formex,Essence Ceramica Skeleton COSC,Stradale Viola 41 mm,Sellita SW200-1 SC skeletonized,COSC,41,owned,"First timing experiment; COSC certificate 327224601; movement 7194"
formex-reef-39-coral-037,Formex,Reef 39.5,Blue fossilized coral #37/50,Sellita SW300-1,COSC,56,owned,"Limited edition 37 of 50"
formex-field-automatic-ice-blue,Formex,Field Automatic 40 mm,Ice Blue,Sellita SW200-1,,41,owned,"Generation intentionally unspecified"
tudor-black-bay-ceramic,Tudor,Black Bay Ceramic,Black ceramic,MT5602-1U,METAS,,owned,"Daily-driver favorite"
tudor-black-bay-58-gmt,Tudor,Black Bay 58 GMT,,MT5450-U,METAS,,owned,"Traveler/flyer GMT"
