timestamp_local,reference,offset_seconds,wear_hours_since_previous,rest_position,manual_winds,notes
2026-08-16T22:10:00-05:00,time.gov,0,0,wrist,fully_wound,"Baseline synchronization; watch set exactly to reference at 10:10 PM CDT. User sleeps with watch on."
2026-08-17T22:10:00-05:00,time.gov,-4,24,wrist,0,"Day 1 reading; worn continuously including sleep."
2026-08-18T22:10:00-05:00,time.gov,-10,24,wrist,0,"Day 2 reading; worn continuously including sleep."
2026-08-19T22:40:00-05:00,time.gov,-14,24.5,wrist,0,"Day 3 reading from iPhone photo taken at 10:40 PM CDT; cumulative offset confirmed by user as -14 seconds. Worn continuously including sleep."
2026-08-20T22:10:00-05:00,time.gov,-18,23.5,wrist,0,"Day 4 reading; cumulative offset -18 seconds. Worn continuously including sleep."
